,total_cpu,total_mem,gazebo_cpu,gazebo_mem,UAV_1_sup_cpu,UAV_1_sup_mem,UAV_2_sup_cpu,UAV_2_sup_mem,pioneer3at_1_sup_cpu,pioneer3at_1_sup_mem,pioneer3at_2_sup_cpu,pioneer3at_2_sup_mem
50.46,97.9,69.0,25.125,11.84488688513016,0.6,1.1612555094960009,,,0.575,1.173358750138683,,
51.755,98.9,69.0,26.5,11.84488688513016,0.45,1.1612555094960009,,,0.45,1.173358750138683,,
52.855,98.1,69.0,25.9,11.84488688513016,0.55,1.1612555094960009,,,0.55,1.173358750138683,,
53.925,98.3,69.1,25.225,11.84488688513016,0.7,1.1612555094960009,,,0.225,1.173358750138683,,
54.985,99.0,69.1,25.825,11.84488688513016,0.5,1.1612555094960009,,,0.775,1.173358750138683,,
56.035,98.2,69.2,23.575000000000003,11.84488688513016,0.5,1.1612555094960009,,,0.75,1.173358750138683,,
57.14,98.2,69.2,25.5,11.84488688513016,0.6,1.1612555094960009,,,0.3,1.173358750138683,,
58.18,99.2,69.3,25.700000000000003,11.84488688513016,0.25,1.1612555094960009,,,0.525,1.173358750138683,,
59.44,98.8,69.3,23.875,11.84488688513016,0.625,1.1612555094960009,,,0.625,1.173358750138683,,
60.52,98.4,69.3,23.174999999999997,11.84488688513016,0.45,1.1612555094960009,,,0.225,1.173358750138683,,
61.68,98.9,69.4,25.825,11.848770008169687,0.275,1.1612555094960009,,,0.525,1.173358750138683,,
62.82,98.4,69.4,27.025,11.848820438339033,0.65,1.1612555094960009,,,0.325,1.173358750138683,,
63.91,98.1,69.4,23.875,11.848820438339033,0.3,1.1612555094960009,,,0.325,1.173358750138683,,
64.98,98.8,69.5,23.55,11.848820438339033,0.6,1.1612555094960009,,,0.575,1.173358750138683,,
66.16,98.3,69.5,25.0,11.848820438339033,0.225,1.1612555094960009,,,0.475,1.173358750138683,,
67.245,99.0,69.7,26.174999999999997,11.848820438339033,0.775,1.1612555094960009,,,0.525,1.173358750138683,,
68.29,98.5,69.8,25.825,11.848820438339033,0.225,1.1612555094960009,,,0.45,1.173358750138683,,
69.42,98.9,69.7,26.950000000000003,11.848820438339033,0.35,1.1612555094960009,,,0.35,1.173358750138683,,
70.535,98.6,69.9,23.675,11.848820438339033,0.475,1.1612555094960009,,,0.475,1.173358750138683,,
71.58,99.0,69.9,24.125,11.848820438339033,0.5,1.1612555094960009,,,0.5,1.173358750138683,,
72.73,98.9,69.9,24.575000000000003,11.848820438339033,0.375,1.1612555094960009,,,0.575,1.173358750138683,,
73.815,98.1,69.9,24.174999999999997,11.848820438339033,0.55,1.1612555094960009,,,0.275,1.173358750138683,,
74.9,98.2,69.9,24.9,11.848820438339033,0.3,1.1612555094960009,,,0.6,1.173358750138683,,
75.95,98.2,70.1,24.950000000000003,11.848820438339033,0.45,1.1612555094960009,,,0.225,1.173358750138683,,
76.995,98.4,70.0,24.575,11.848820438339033,0.55,1.1612555094960009,,,0.55,1.173358750138683,,
78.08,98.3,70.2,24.924999999999997,11.848820438339033,0.475,1.1612555094960009,,,0.475,1.173358750138683,,
79.21,98.9,70.2,23.65,11.848820438339033,0.525,1.1612555094960009,,,0.525,1.173358750138683,,
80.305,98.4,70.3,24.85,11.848820438339033,0.45,1.1612555094960009,,,0.45,1.1734091803080275,,
81.56,98.4,70.4,25.825000000000003,11.848820438339033,0.45,1.1612555094960009,,,0.45,1.1734091803080275,,
82.645,98.3,70.5,25.325000000000003,11.848820438339033,0.325,1.1612555094960009,,,0.325,1.1734091803080275,,
83.73,98.5,70.5,24.0,11.848820438339033,0.225,1.1612555094960009,,,0.225,1.1734091803080275,,
84.835,98.2,70.5,24.65,11.848820438339033,0.775,1.1613059396653453,,,0.5,1.1734091803080275,,
85.88,99.0,70.5,25.375,11.848820438339033,0.35,1.1613059396653453,,,0.35,1.1734091803080275,,
87.075,98.9,70.6,25.725,11.848820438339033,0.275,1.1613059396653453,,,0.55,1.1734091803080275,,
88.185,98.9,70.4,24.8,11.848820438339033,0.55,1.1613059396653453,,,0.55,1.1734091803080275,,
89.255,98.9,70.6,24.950000000000003,11.848820438339033,0.525,1.1613059396653453,,,0.275,1.1734091803080275,,
90.395,98.4,70.8,24.75,11.848870868508376,0.45,1.1613059396653453,,,0.45,1.1734091803080275,,
91.465,98.3,70.9,24.75,11.848870868508376,0.275,1.1613059396653453,,,0.575,1.1734091803080275,,
92.575,98.8,70.9,22.45,11.848870868508376,0.475,1.1613059396653453,,,0.925,1.1734091803080275,,
93.615,98.6,71.0,24.95,11.848870868508376,0.45,1.1613059396653453,,,0.45,1.1734091803080275,,
94.7,98.8,70.9,24.1,11.848870868508376,0.4,1.1613059396653453,,,0.4,1.1734091803080275,,
95.755,99.0,71.0,24.175,11.848870868508376,0.5,1.1613059396653453,,,0.5,1.1734091803080275,,
96.825,98.3,71.0,26.299999999999997,11.848870868508376,0.575,1.1613059396653453,,,0.575,1.1734091803080275,,
97.875,98.0,71.2,25.225,11.848870868508376,0.5,1.1613059396653453,,,0.5,1.1734091803080275,,
98.91,97.7,71.2,23.35,11.848870868508376,0.275,1.1613059396653453,,,0.275,1.1734091803080275,,
99.945,98.1,71.2,24.6,11.848870868508376,0.475,1.1613059396653453,,,0.475,1.1734091803080275,,
101.06,98.5,71.1,24.7,11.848870868508376,0.5,1.1613059396653453,,,0.5,1.1734091803080275,,
102.175,98.3,71.2,24.55,11.848870868508376,0.425,1.1613059396653453,,,0.425,1.1734091803080275,,
103.29,98.4,71.3,25.05,11.848971728847065,0.325,1.1613059396653453,,,0.325,1.1734091803080275,,
104.4,99.1,71.2,27.4,11.848971728847065,0.425,1.1613059396653453,,,0.425,1.1734091803080275,,
105.51,98.1,71.1,23.975,11.848971728847065,0.525,1.1613059396653453,,,0.525,1.1734091803080275,,
106.635,98.9,71.2,23.3,11.848971728847065,0.2,1.1613059396653453,,,0.425,1.1734091803080275,,
107.7,98.4,71.3,25.65,11.848971728847065,0.525,1.1613059396653453,,,0.525,1.1734091803080275,,
108.78,98.7,71.4,24.75,11.848971728847065,0.45,1.1613059396653453,,,0.45,1.1734091803080275,,
109.88,98.6,71.5,25.2,11.848971728847065,0.45,1.1613059396653453,,,0.45,1.1734091803080275,,
111.035,98.0,71.5,25.85,11.848971728847065,0.5,1.1613059396653453,,,0.25,1.1734091803080275,,
112.235,97.6,71.4,24.0,11.848971728847065,0.6,1.1613059396653453,,,0.4,1.1734091803080275,,
113.365,99.0,71.4,25.075,11.848971728847065,0.25,1.1613059396653453,,,0.775,1.1734091803080275,,
114.45,98.0,71.5,24.174999999999997,11.848971728847065,0.425,1.1613059396653453,,,0.425,1.1734091803080275,,
115.475,98.8,71.5,25.025,11.848971728847065,0.425,1.1613059396653453,,,0.425,1.1734091803080275,,
116.535,98.3,71.5,24.625,11.848971728847065,0.65,1.1613059396653453,,,0.65,1.1734091803080275,,
117.575,98.4,71.0,24.2,11.84902215901641,0.275,1.1613059396653453,,,0.275,1.1734091803080275,,
118.67,99.1,71.1,25.625,11.84902215901641,0.575,1.1613059396653453,,,0.575,1.1734091803080275,,
119.755,98.3,71.2,27.049999999999997,11.84902215901641,0.25,1.1613059396653453,,,0.5,1.1734091803080275,,
120.885,98.7,71.2,26.375,11.84902215901641,0.425,1.1613059396653453,,,0.0,1.1734091803080275,,
121.965,98.9,71.2,24.0,11.84902215901641,0.45,1.1613059396653453,,,0.45,1.1734091803080275,,
123.05,99.4,71.3,25.825000000000003,11.84902215901641,0.3,1.1613059396653453,,,0.6,1.1734091803080275,,
124.155,98.3,71.3,25.875,11.84902215901641,0.65,1.1613059396653453,,,0.425,1.1734091803080275,,
