,event,allocated_robots,available_robots,teleoperations,pioneer3at_1_cur_maneuver,pioneer3at_1_tasks_counter,pioneer3at_1_pose,pioneer3at_1_battery,pioneer3at_2_cur_maneuver,pioneer3at_2_tasks_counter,pioneer3at_2_pose,pioneer3at_2_battery,UAV_1_cur_maneuver,UAV_1_tasks_counter,UAV_1_pose,UAV_1_battery,UAV_2_cur_maneuver,UAV_2_tasks_counter,UAV_2_pose,UAV_2_battery
1720.54,,2,2,3,exploration,1,"[17.70411518737935, 21.058829477392546, 0.0]",72.23359680175781,None,4,"[35.2602815357302, 11.122597373749885, 0.0]",81.00330352783203,return to base,1,"[41.825528554113184, 21.277158795107553, 6.095785220346358]",12.456000328063965,return to base,2,"[10.983485277467894, 14.949312531646001, 7.106155524009068]",21.288000106811523
1723.09,uav_er_rb,2,2,3,exploration,1,"[17.704126597995735, 21.05884571307134, 0.0]",72.23359680175781,None,4,"[35.423316170138776, 10.730646378231599, 0.0]",80.88130187988281,None,1,"[41.82805222419897, 21.279344049745667, 6.084124954597823]",11.968000411987305,return to base,2,"[10.692432223093833, 14.600396592271343, 7.111472785889954]",20.552000045776367
1723.325,st_app,2,2,3,exploration,1,"[17.704126105018783, 21.05884580978423, 0.0]",72.23359680175781,approach,4,"[35.467976988918224, 10.652463448262477, 0.0]",80.88130187988281,None,1,"[41.82804809329216, 21.27948296844313, 6.082477884556255]",11.968000411987305,return to base,2,"[10.690525867310313, 14.598217955994933, 7.111192411828175]",20.552000045776367
1723.8,uav_req_assist,2,2,3,exploration,1,"[17.704124805721335, 21.058846096550063, 0.0]",72.23359680175781,approach,4,"[35.58052941972491, 10.498486293969778, 0.0]",80.88130187988281,None,1,"[41.828673364741924, 21.279775819246847, 6.081136653969805]",11.968000411987305,return to base,2,"[10.666198018292413, 14.569324161105506, 7.110941760682053]",20.552000045776367
1728.815,er_exp,2,2,3,None,1,"[17.70412962938, 21.058863798610197, 0.0]",72.23359680175781,approach,4,"[37.36864896809369, 8.768323747216332, 0.0]",80.88130187988281,None,1,"[41.832055603653984, 21.282563220136584, 6.045982254040404]",11.968000411987305,return to base,2,"[9.296442950307242, 12.930757741195015, 7.012708938279415]",20.552000045776367
1729.095,req_assist,2,2,3,None,1,"[17.7041288187695, 21.05886398637333, 0.0]",72.23359680175781,approach,4,"[37.479147522662345, 8.660861048305259, 0.0]",80.88130187988281,None,1,"[41.83201201076607, 21.283190824499776, 6.044196380055616]",11.968000411987305,return to base,2,"[9.145946166750202, 12.750835279345726, 7.011291463629742]",20.552000045776367
1737.22,end_app,2,2,3,None,1,"[17.70414301706664, 21.058898628869173, 0.0]",71.81759643554688,None,4,"[39.79377074158732, 7.152277260469254, 0.0]",80.39129638671875,None,1,"[41.83483264644344, 21.2859166440991, 5.990249519251447]",11.968000411987305,return to base,2,"[7.723133949198069, 11.048078238161027, 6.91945657798783]",19.823999404907227
1737.8,off_vs,2,2,3,None,1,"[17.70414179060653, 21.058898713743876, 0.0]",71.81759643554688,None,4,"[39.79377988265849, 7.152587227705426, 0.0]",80.39129638671875,None,1,"[41.83509993043784, 21.286277089770675, 5.987285724095555]",11.968000411987305,return to base,2,"[7.748463749589183, 11.077751260374457, 6.922109891002914]",19.823999404907227
1737.97,,2,2,3,None,1,"[17.704141306584454, 21.05889880395432, 0.0]",71.81759643554688,None,5,"[39.79377472842748, 7.152717785635344, 0.0]",80.39129638671875,None,1,"[41.83537686140499, 21.28580576677883, 5.98555625959977]",11.968000411987305,return to base,2,"[7.778106748618653, 11.113042738012885, 6.924220294338553]",19.823999404907227
1738.28,on_vs,2,2,3,None,1,"[17.704140543485916, 21.058898966195166, 0.0]",71.81759643554688,None,5,"[39.79376849532504, 7.15291392652556, 0.0]",80.39129638671875,None,1,"[41.835228953164574, 21.286365377739152, 5.9839867669352085]",11.968000411987305,return to base,2,"[7.860286591724416, 11.211002962610186, 6.929049168908167]",19.823999404907227
