,event,event_source,allocated_robots,available_robots,teleoperations,pioneer3at_1_cur_maneuver,pioneer3at_1_tasks_counter,pioneer3at_1_pose,pioneer3at_1_battery,UAV_1_cur_maneuver,UAV_1_tasks_counter,UAV_1_pose,UAV_1_battery
575.635,,,1,2,0,approach,1,"[15.803833731724836, 15.297823079885056, 0.0]",84.10970306396484,None,0,"[0.9948142454821425, 1.004927635108857, 0.6572267131934374]",100.0
579.395,,,1,2,0,approach,1,"[15.945761167232867, 15.601933781552018, 0.0]",84.10970306396484,None,0,"[0.9949110944159525, 1.0050402752501328, 0.6571947112895208]",100.0
579.44,end_app,pioneer3at_1,1,2,0,None,1,"[15.945846508871695, 15.601897493849137, 0.0]",84.10970306396484,None,0,"[0.9949126832812315, 1.0049748582816622, 0.6572273140042849]",100.0
579.525,,,0,2,0,None,2,"[15.945859843218777, 15.602046254626723, 0.0]",84.10970306396484,None,0,"[0.9949214118316866, 1.0049776198775342, 0.6572273629440735]",100.0
579.565,,,1,2,0,None,2,"[15.945859843218777, 15.602046254626723, 0.0]",84.10970306396484,None,0,"[0.9949234812043936, 1.00504510052858, 0.657194755497587]",100.0
580.64,off_vs,pioneer3at_1,1,2,0,None,2,"[15.947587717068023, 15.603444777882107, 0.0]",84.10970306396484,None,0,"[0.9948784478470614, 1.0050069841381006, 0.6572458090763286]",100.0
581.885,on_vs,pioneer3at_1,1,2,0,None,2,"[15.949366823241988, 15.604870768022737, 0.0]",83.56340026855469,None,0,"[0.9948415414529443, 1.005019943085242, 0.6571658506889356]",100.0
585.59,st_app,pioneer3at_1,1,2,0,approach,2,"[16.008281471677662, 15.707923505761181, 0.0]",83.56340026855469,None,0,"[0.9949823706455102, 1.005091625442949, 0.6571856757915034]",100.0
596.59,,,1,2,0,approach,2,"[19.725563991689224, 16.906425701735778, 0.0]",82.8948974609375,None,0,"[0.9948620305846043, 1.0053919580949422, 0.6572396781662203]",100.0
607.17,,,1,2,0,approach,2,"[24.0099425772925, 16.406895640438172, 0.0]",82.15489959716797,None,0,"[0.9949322711774666, 1.0056913939121759, 0.6571825455318259]",100.0
