,allocated_robots,available_robots,teleoperations,pioneer3at_1_cur_maneuver,pioneer3at_1_tasks_counter,pioneer3at_2_cur_maneuver,pioneer3at_2_tasks_counter,UAV_1_cur_maneuver,UAV_1_tasks_counter,UAV_2_cur_maneuver,UAV_2_tasks_counter
846,3,3,8,None,1,teleoperation,3,None,2,assessment,2
847,3,3,9,teleoperation,1,teleoperation,3,None,2,assessment,2
852,3,3,9,teleoperation,1,None,3,None,2,assessment,2
853,3,3,9,None,1,None,3,None,2,assessment,2
854,3,3,9,None,1,approach,3,None,2,assessment,2
855,3,3,9,approach,1,approach,3,None,2,assessment,2
862,3,3,9,approach,1,approach,3,None,2,assessment,2
867,3,3,9,approach,1,approach,3,None,2,assessment,2
873,3,3,9,approach,1,approach,3,None,2,assessment,2
880,3,3,9,approach,1,approach,3,None,2,assessment,2
886,3,3,9,approach,1,approach,3,None,2,assessment,2
892,3,3,9,approach,1,approach,3,None,2,assessment,2
898,3,3,9,approach,1,approach,3,None,2,assessment,2
904,3,3,9,approach,1,approach,3,None,2,assessment,2
907,3,3,9,None,1,approach,3,None,2,assessment,2
908,3,3,10,teleoperation,1,approach,3,None,2,assessment,2
913,3,3,10,None,1,approach,3,None,2,assessment,2
914,3,3,10,None,1,approach,3,None,2,assessment,2
915,3,3,10,approach,1,approach,3,None,2,assessment,2
921,3,3,10,approach,1,approach,3,None,2,assessment,2
923,3,2,10,approach,1,approach,3,None,2,assessment,2
924,3,2,10,approach,1,approach,3,None,2,None,2
925,3,2,10,approach,1,approach,3,None,2,return to base,2
931,3,2,10,approach,1,None,3,None,2,return to base,2
932,3,2,11,approach,1,teleoperation,3,None,2,return to base,2
937,3,2,11,approach,1,None,3,None,2,return to base,2
939,3,2,11,approach,1,approach,3,None,2,return to base,2
940,3,2,11,None,1,approach,3,None,2,return to base,2
941,3,2,12,teleoperation,1,approach,3,None,2,return to base,2
947,3,2,12,None,1,approach,3,None,2,return to base,2
948,3,2,12,approach,1,approach,3,None,2,return to base,2
955,3,2,12,approach,1,approach,3,None,2,return to base,2
960,3,2,12,approach,1,approach,3,None,2,return to base,2
964,3,2,12,approach,1,None,3,None,2,return to base,2
965,3,2,13,approach,1,teleoperation,3,None,2,return to base,2
972,3,2,13,approach,1,None,3,None,2,return to base,2
973,3,2,13,None,1,None,3,None,2,return to base,2
974,3,2,14,teleoperation,1,None,3,None,2,return to base,2
975,3,3,14,teleoperation,1,approach,3,None,2,None,2
976,3,3,15,teleoperation,1,approach,3,None,2,teleoperation,2
980,3,3,15,None,1,approach,3,None,2,teleoperation,2
981,3,3,15,None,1,approach,3,None,2,teleoperation,2
983,3,3,15,approach,1,approach,3,None,2,teleoperation,2
990,3,3,15,approach,1,approach,3,None,2,teleoperation,2
996,3,3,15,approach,1,approach,3,None,2,teleoperation,2
1000,3,3,15,approach,1,None,3,None,2,teleoperation,2
1001,3,3,16,approach,1,teleoperation,3,None,2,teleoperation,2
1008,3,3,16,None,1,None,3,None,2,teleoperation,2
1009,3,3,17,teleoperation,1,None,3,None,2,teleoperation,2
1010,3,3,17,teleoperation,1,approach,3,None,2,teleoperation,2
1015,3,3,17,None,1,approach,3,None,2,teleoperation,2
1017,3,3,17,approach,1,approach,3,None,2,teleoperation,2
1023,3,3,17,approach,1,approach,3,None,2,teleoperation,2
1031,3,3,17,approach,1,approach,3,None,2,teleoperation,2
1035,3,3,17,approach,1,None,3,None,2,teleoperation,2
1036,3,3,18,approach,1,teleoperation,3,None,2,teleoperation,2
1042,3,3,18,None,1,teleoperation,3,None,2,teleoperation,2
1044,3,3,19,teleoperation,1,teleoperation,3,None,2,teleoperation,2
1051,3,3,19,None,1,teleoperation,3,None,2,teleoperation,2
1053,3,3,19,approach,1,teleoperation,3,None,2,teleoperation,2
1060,3,3,19,approach,1,teleoperation,3,None,2,teleoperation,2
1067,3,3,19,approach,1,teleoperation,3,None,2,teleoperation,2
1074,3,3,19,approach,1,teleoperation,3,None,2,teleoperation,2
1078,3,3,19,None,1,teleoperation,3,None,2,teleoperation,2
1079,3,3,20,teleoperation,1,teleoperation,3,None,2,teleoperation,2
1083,3,2,20,teleoperation,1,teleoperation,3,None,2,teleoperation,2
1086,2,2,20,None,1,teleoperation,3,None,2,teleoperation,2
1088,2,2,20,approach,1,teleoperation,3,None,2,teleoperation,2
1095,2,2,20,approach,1,teleoperation,3,None,2,teleoperation,2
1096,2,2,20,approach,1,teleoperation,3,None,2,None,2
1103,2,2,20,approach,1,teleoperation,3,None,2,None,2
1110,2,2,20,approach,1,teleoperation,3,None,2,None,2
1114,2,2,20,None,1,teleoperation,3,None,2,None,2
1115,2,2,21,teleoperation,1,teleoperation,3,None,2,None,2
1122,2,2,21,None,1,teleoperation,3,None,2,None,2
1124,2,2,21,approach,1,teleoperation,3,None,2,None,2
1131,2,2,21,approach,1,teleoperation,3,None,2,None,2
1137,2,2,21,approach,1,teleoperation,3,None,2,None,2
1145,2,2,21,approach,1,teleoperation,3,None,2,None,2
1149,2,2,21,None,1,teleoperation,3,None,2,None,2
1150,2,2,22,teleoperation,1,teleoperation,3,None,2,None,2
1157,2,2,22,None,1,teleoperation,3,None,2,None,2
1159,2,2,22,approach,1,teleoperation,3,None,2,None,2
1166,2,2,22,approach,1,teleoperation,3,None,2,None,2
1172,2,2,22,approach,1,teleoperation,3,None,2,None,2
1179,2,2,22,approach,1,teleoperation,3,None,2,None,2
1184,2,2,22,None,1,teleoperation,3,None,2,None,2
1185,2,2,23,teleoperation,1,teleoperation,3,None,2,None,2
1191,2,2,23,None,1,teleoperation,3,None,2,None,2
1192,2,2,23,None,1,teleoperation,3,None,2,None,2
1193,2,2,23,approach,1,teleoperation,3,None,2,None,2
1200,2,2,23,approach,1,teleoperation,3,None,2,None,2
1206,2,2,23,approach,1,teleoperation,3,None,2,None,2
1212,2,2,23,approach,1,teleoperation,3,None,2,None,2
1218,2,2,23,approach,1,teleoperation,3,None,2,None,2
1219,2,2,23,None,1,teleoperation,3,None,2,None,2
1220,2,2,24,teleoperation,1,teleoperation,3,None,2,None,2
1226,2,2,24,None,1,teleoperation,3,None,2,None,2
1228,2,2,24,approach,1,teleoperation,3,None,2,None,2
1234,2,2,24,approach,1,teleoperation,3,None,2,None,2
