,event,allocated_robots,available_robots,teleoperations,pioneer3at_1_cur_maneuver,pioneer3at_1_tasks_counter,pioneer3at_1_pose,pioneer3at_1_battery,pioneer3at_2_cur_maneuver,pioneer3at_2_tasks_counter,pioneer3at_2_pose,pioneer3at_2_battery,UAV_1_cur_maneuver,UAV_1_tasks_counter,UAV_1_pose,UAV_1_battery,UAV_2_cur_maneuver,UAV_2_tasks_counter,UAV_2_pose,UAV_2_battery
1886.445,on_vs,3,3,2,None,5,"[39.46175720191415, 7.172418574023957, 0.0]",81.69290161132812,exploration,5,"[30.22920140678219, 20.337727085127376, 0.0]",67.05989837646484,assessment,1,"[22.339188978566483, 11.607002632367474, 2.701699314938024]",64.27200317382812,None,0,"[54.455051765079936, 16.183580939886557, 1.381295420079527]",22.84950065612793
1888.125,st_exp,3,3,2,exploration,5,"[39.462110645248224, 7.173841109338981, 0.0]",81.69290161132812,exploration,5,"[30.22731834856772, 20.31557072810594, 0.0]",67.05989837646484,assessment,1,"[22.966007496169937, 11.91824730302678, 2.7343737061905022]",64.27200317382812,None,0,"[54.45505136698592, 16.183580718658117, 1.381295364075062]",22.84950065612793
1895.395,,3,3,2,exploration,5,"[39.461693128526065, 7.18000611148756, 0.0]",81.40879821777344,exploration,5,"[30.158895794641797, 20.607738740332884, 0.0]",66.5198974609375,assessment,1,"[24.645230548415018, 12.579290110425024, 2.851143766629568]",63.49599838256836,None,0,"[54.45514842959803, 16.183509580434162, 1.3813395196172598]",22.75950050354004
1902.78,,3,3,2,exploration,5,"[39.46032778182253, 7.185966968553052, 0.0]",81.01679992675781,exploration,5,"[30.328681955807347, 20.612490788273664, 0.0]",66.01190185546875,assessment,1,"[26.541062686435147, 13.28166021634633, 2.97813631677036]",62.75199890136719,None,0,"[54.45514273515861, 16.183627506829346, 1.3812842352267665]",22.66950035095215
1910.37,,3,3,2,exploration,5,"[40.69433553758582, 9.28223394352036, 0.0]",80.47679901123047,exploration,5,"[29.283688291707634, 20.641031543494126, 0.0]",65.6438980102539,assessment,1,"[28.578176527843883, 14.035776122254273, 3.111242217280719]",61.97600173950195,None,0,"[54.45514060395265, 16.183626167015262, 1.3812839200861746]",22.579500198364258
1918.765,,3,3,2,exploration,5,"[40.69795584413156, 9.269961123865004, 0.0]",80.47679901123047,exploration,5,"[28.269174922981826, 22.260090931773128, 0.0]",65.6438980102539,assessment,1,"[30.669601456180416, 14.809928058166667, 3.238030468747678]",61.97600173950195,None,0,"[54.455193209358036, 16.183537560941616, 1.3813272636317984]",22.579500198364258
1926.31,,3,3,2,exploration,5,"[40.70062417559672, 9.258966623537576, 0.0]",80.32479858398438,exploration,5,"[28.497536637267505, 22.2373452711253, 0.0]",65.10389709472656,assessment,1,"[32.47210542723864, 15.47716117892718, 3.3601051873201806]",61.2400016784668,None,0,"[54.455241887515406, 16.183676730498554, 1.3812913734181465]",22.489500045776367
1933.55,,3,3,2,exploration,5,"[40.702684665481094, 9.24836890181231, 0.0]",79.872802734375,exploration,5,"[28.04731942376846, 22.32136348671281, 0.0]",64.56390380859375,assessment,1,"[34.276967870160334, 16.145281624153576, 3.482234776322269]",60.52000045776367,None,0,"[54.45581805756085, 16.183420382691796, 1.3813388727246345]",22.399499893188477
1940.375,,3,3,2,exploration,5,"[40.70418477247418, 9.23817659837104, 0.0]",79.4728012084961,exploration,5,"[28.192327573757456, 22.319607923780072, 0.0]",64.0239028930664,assessment,1,"[34.04482032314677, 16.05978939344525, 3.4862585428849555]",59.944000244140625,None,0,"[54.45569384146571, 16.18377632165344, 1.3813328649056662]",22.309499740600586
1946.8,,3,3,2,exploration,5,"[40.705097347690575, 9.228656744158885, 0.0]",79.4728012084961,exploration,5,"[28.051769691711222, 22.567720603693942, 0.0]",64.0239028930664,assessment,1,"[34.0441951256695, 16.05909335528892, 3.484841432000683]",59.944000244140625,None,0,"[54.45576258402655, 16.183669168731708, 1.381340007904425]",22.309499740600586
1954.155,,3,3,2,exploration,5,"[40.705403295279304, 9.217439643994949, 0.0]",79.04879760742188,exploration,5,"[28.151892801602397, 22.430827912679394, 0.0]",63.4838981628418,assessment,1,"[34.044208818353425, 16.059074368467687, 3.484422166790755]",59.944000244140625,None,0,"[54.455714334234024, 16.18381466169027, 1.381295645058684]",22.219499588012695
1963.455,,3,3,2,exploration,5,"[40.70442040678407, 9.206643677869085, 0.0]",78.63279724121094,exploration,5,"[28.079563118156443, 22.333341305289714, 0.0]",63.34389877319336,assessment,1,"[33.84793172196421, 16.939953432290302, 3.607080721675582]",59.880001068115234,None,0,"[54.455886980146225, 16.183907713161155, 1.381281595929025]",22.129499435424805
1971.16,,3,3,2,exploration,5,"[40.70563910354218, 9.201855399093237, 0.0]",78.25279998779297,exploration,5,"[28.10101506058741, 22.306342469640605, 0.0]",63.02790069580078,assessment,1,"[33.51762367611889, 18.333750521418377, 3.8591940703438223]",59.119998931884766,None,0,"[54.45614313172304, 16.18391986122798, 1.3813318519731184]",22.039499282836914
1976.87,,3,3,2,exploration,5,"[40.70709385821789, 9.199191042322546, 0.0]",78.25279998779297,exploration,5,"[27.27224357624026, 21.410022671597837, 0.0]",63.02790069580078,assessment,1,"[33.10940280767684, 20.093647321090117, 4.1043569855141735]",59.119998931884766,None,0,"[54.456142236612735, 16.18391946158964, 1.3813318139581707]",22.039499282836914
1983.895,,3,3,2,exploration,5,"[40.70821204987551, 9.196281416121488, 0.0]",77.78079986572266,exploration,5,"[26.550750810432596, 21.225221690151635, 0.0]",62.519901275634766,assessment,1,"[32.79059082670999, 21.47052801692588, 4.348319852843195]",58.375999450683594,None,0,"[54.45614122981058, 16.183918985824274, 1.3813316713509485]",21.949499130249023
1988.78,er_exp,3,3,2,None,5,"[40.7085738284816, 9.195378040212729, 0.0]",77.78079986572266,exploration,5,"[25.70680398718243, 21.984389632736093, 0.0]",62.519901275634766,assessment,1,"[32.80955523632323, 21.38878784086939, 4.3541928240037215]",58.375999450683594,None,0,"[54.455897784097246, 16.18403168773499, 1.3812675670158745]",21.949499130249023
1988.93,req_assist,3,3,2,None,5,"[40.70855001462166, 9.195369866077016, 0.0]",77.78079986572266,exploration,5,"[25.709463905198717, 22.05841948515261, 0.0]",62.519901275634766,assessment,1,"[32.8166175463349, 21.392075659428347, 4.3541352829866495]",58.375999450683594,None,0,"[54.45589768405528, 16.184031621066335, 1.3812675530560365]",21.949499130249023
1996.37,,3,3,2,None,5,"[40.70852011249375, 9.193533352468103, 0.0]",77.36080169677734,exploration,5,"[26.0019364618349, 23.320794117532753, 0.0]",62.17190170288086,assessment,1,"[32.79515034035091, 21.454274822511287, 4.3526106152477535]",57.608001708984375,None,0,"[54.45594852774529, 16.1839420764255, 1.3812736061002793]",21.859500885009766
1997.9,call_tele,3,3,2,None,5,"[40.708554087046245, 9.19355350378258, 0.0]",77.36080169677734,exploration,5,"[25.992863783175405, 23.296597326792682, 0.0]",62.17190170288086,assessment,1,"[32.79464787980586, 21.454914801992715, 4.352486201948184]",57.608001708984375,None,0,"[54.45594835932163, 16.183942031531714, 1.3812735779316159]",21.859500885009766
1999.895,st_tele,3,3,3,teleoperation,5,"[40.70885717010899, 9.192704959175748, 0.0]",77.2208023071289,exploration,5,"[26.111547749332075, 23.108814083274268, 0.0]",61.631900787353516,assessment,1,"[32.794415561541065, 21.45527902520324, 4.35237564090526]",57.58399963378906,None,0,"[54.45594814939851, 16.183941975838902, 1.3812735428045104]",21.769500732421875
2006.93,,3,3,3,teleoperation,5,"[40.419214956441714, 8.90467220101319, 0.0]",77.2208023071289,exploration,5,"[25.864092526764253, 22.89323369752744, 0.0]",61.631900787353516,assessment,1,"[32.79424589351917, 21.455522438465685, 4.352194708413064]",57.58399963378906,None,0,"[54.45593825292884, 16.18405332248412, 1.3812702585605765]",21.769500732421875
